drg_cd,drg_desc,service_line
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,Cardiology
3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",Pulmonology/Respiratory
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",Pulmonology/Respiratory
5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,Gastroenterology
6,LIVER TRANSPLANT WITHOUT MCC,Gastroenterology
7,LUNG TRANSPLANT,Pulmonology/Respiratory
11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",Pulmonology/Respiratory
12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",Pulmonology/Respiratory
13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",Pulmonology/Respiratory
14,ALLOGENEIC BONE MARROW TRANSPLANT,Oncology
16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,Oncology
18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,Oncology
20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,Neurology
21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,Neurology
23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,Neurology
24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,Neurology
25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,Neurology
26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,Neurology
27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,Neurology
28,SPINAL PROCEDURES WITH MCC,Neurology
29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,Neurology
30,SPINAL PROCEDURES WITHOUT CC/MCC,Neurology
31,VENTRICULAR SHUNT PROCEDURES WITH MCC,Neurology
32,VENTRICULAR SHUNT PROCEDURES WITH CC,Neurology
33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,Neurology
34,CAROTID ARTERY STENT PROCEDURES WITH MCC,Neurology
35,CAROTID ARTERY STENT PROCEDURES WITH CC,Neurology
36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,Neurology
37,EXTRACRANIAL PROCEDURES WITH MCC,Neurology
38,EXTRACRANIAL PROCEDURES WITH CC,Neurology
39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,Neurology
40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",Neurology
41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",Neurology
42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",Neurology
54,NERVOUS SYSTEM NEOPLASMS WITH MCC,Neurology
55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,Neurology
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,Neurology
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,Neurology
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",Neurology
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",Neurology
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,Neurology
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Neurology
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,Neurology
68,PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,Neurology
69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Neurology
70,OTHER CEREBROVASCULAR DISORDERS WITH MCC,Neurology
71,OTHER CEREBROVASCULAR DISORDERS WITH CC,Neurology
72,OTHER CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,Neurology
73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,Neurology
74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,Neurology
77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,Neurology
78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,Neurology
80,NONTRAUMATIC STUPOR AND COMA WITH MCC,Neurology
82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,Neurology
83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,Neurology
84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,Neurology
85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,Neurology
86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,Neurology
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,Neurology
88,CONCUSSION WITH MCC,Neurology
89,CONCUSSION WITH CC,Neurology
90,CONCUSSION WITHOUT CC/MCC,Neurology
91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,Neurology
92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,Neurology
93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,Neurology
94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,Neurology
97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,Neurology
100,SEIZURES WITH MCC,Neurology
101,SEIZURES WITHOUT MCC,Neurology
102,HEADACHES WITH MCC,Neurology
103,HEADACHES WITHOUT MCC,Neurology
113,ORBITAL PROCEDURES WITH CC/MCC,Other
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,Other
116,INTRAOCULAR PROCEDURES WITH CC/MCC,Other
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,Other
123,NEUROLOGICAL EYE DISORDERS,Other
124,OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT,Other
125,OTHER DISORDERS OF THE EYE WITHOUT MCC,Other
141,MAJOR HEAD AND NECK PROCEDURES WITH CC,Other
142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,Other
144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",Other
145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",Other
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",Other
147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",Other
149,DYSEQUILIBRIUM,Neurology
151,EPISTAXIS WITHOUT MCC,Other
152,OTITIS MEDIA AND URI WITH MCC,Other
153,OTITIS MEDIA AND URI WITHOUT MCC,Other
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",Other
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",Other
157,DENTAL AND ORAL DISEASES WITH MCC,Other
158,DENTAL AND ORAL DISEASES WITH CC,Other
163,MAJOR CHEST PROCEDURES WITH MCC,Pulmonology/Respiratory
164,MAJOR CHEST PROCEDURES WITH CC,Pulmonology/Respiratory
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,Pulmonology/Respiratory
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,Pulmonology/Respiratory
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,Pulmonology/Respiratory
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,Pulmonology/Respiratory
173,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLIS,Pulmonology/Respiratory
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,Pulmonology/Respiratory
176,PULMONARY EMBOLISM WITHOUT MCC,Pulmonology/Respiratory
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,Pulmonology/Respiratory
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,Pulmonology/Respiratory
